DATA;VALUTA;BRANCHE;TID;INDHOLD
ULT;DKK;FZZ;2016M12;22047.0
ULT;DKK;FZZ;2017M01;21172.0
ULT;DKK;GZZ;2013M09;..
ULT;DKK;GZZ;2013M10;54027.8
ULT;DKK;GZZ;2013M11;54307.8
ULT;DKK;GZZ;2013M12;52472.9
ULT;DKK;GZZ;2014M01;51847.0
ULT;DKK;GZZ;2014M02;52149.8
ULT;DKK;GZZ;2014M03;54838.6
ULT;DKK;GZZ;2014M04;55107.7
ULT;DKK;GZZ;2014M05;53609.4
ULT;DKK;GZZ;2014M06;53696.4
ULT;DKK;GZZ;2014M07;50741.1
ULT;DKK;GZZ;2014M08;51603.2
ULT;DKK;GZZ;2014M09;53563.9
ULT;DKK;GZZ;2014M10;53057.8
ULT;DKK;GZZ;2014M11;54965.6
ULT;DKK;GZZ;2014M12;53486.0
ULT;DKK;GZZ;2015M01;53474.8
ULT;DKK;GZZ;2015M02;52944.1
ULT;DKK;GZZ;2015M03;52851.2
ULT;DKK;GZZ;2015M04;52935.5
ULT;DKK;GZZ;2015M05;52018.5
ULT;DKK;GZZ;2015M06;51231.5
ULT;DKK;GZZ;2015M07;49861.8
ULT;DKK;GZZ;2015M08;53549.7
ULT;DKK;GZZ;2015M09;54414.9
ULT;DKK;GZZ;2015M10;55172.9
ULT;DKK;GZZ;2015M11;56139.6
ULT;DKK;GZZ;2015M12;53371.8
ULT;DKK;GZZ;2016M01;53348.9
ULT;DKK;GZZ;2016M02;55178.0
ULT;DKK;GZZ;2016M03;55761.8
ULT;DKK;GZZ;2016M04;55711.1
ULT;DKK;GZZ;2016M05;52884.2
ULT;DKK;GZZ;2016M06;55199.7
ULT;DKK;GZZ;2016M07;52251.7
ULT;DKK;GZZ;2016M08;52569.3
ULT;DKK;GZZ;2016M09;54853.5
ULT;DKK;GZZ;2016M10;56127.7
ULT;DKK;GZZ;2016M11;55602.5
ULT;DKK;GZZ;2016M12;53108.7
ULT;DKK;GZZ;2017M01;54944.8
ULT;DKK;HZZ;2013M09;..
ULT;DKK;HZZ;2013M10;12363.8
ULT;DKK;HZZ;2013M11;12747.8
ULT;DKK;HZZ;2013M12;13375.7
ULT;DKK;HZZ;2014M01;12828.8
ULT;DKK;HZZ;2014M02;13110.6
ULT;DKK;HZZ;2014M03;14247.7
ULT;DKK;HZZ;2014M04;14937.5
ULT;DKK;HZZ;2014M05;14054.1
ULT;DKK;HZZ;2014M06;13216.9
